Time_s,Velocity_Linear_mps,Velocity_Sine_mps,Velocity_Exp_mps,Velocity_Poly5_mps
10.49,0.35,0.35,0.35,0.35
10.492,0.35,0.35,0.35,0.35
10.494,0.35,0.35,0.35,0.35
10.496,0.35,0.35,0.35,0.35
10.498,0.35,0.35,0.35,0.35
10.5,0.35,0.35,0.35,0.35
10.502,0.35,0.35,0.35,0.35
10.504,0.35,0.35,0.35,0.35
10.506,0.35,0.35,0.35,0.35
10.508,0.35,0.35,0.35,0.35
10.51,0.35,0.35,0.35,0.35
10.512,0.35,0.35,0.35,0.35
10.514,0.35,0.35,0.35,0.35
10.516,0.35,0.35,0.35,0.35
10.518,0.35,0.35,0.35,0.35
10.52,0.35,0.35,0.35,0.35
10.522,0.35,0.35,0.35,0.35
10.524,0.35,0.35,0.35,0.35
10.526,0.35,0.35,0.35,0.35
10.528,0.35,0.35,0.35,0.35
10.53,0.35,0.35,0.35,0.35
10.532,0.35,0.35,0.35,0.35
10.534,0.35,0.35,0.35,0.35
10.536,0.35,0.35,0.35,0.35
10.538,0.35,0.35,0.35,0.35
10.54,0.35,0.35,0.35,0.35
10.542,0.35,0.35,0.35,0.35
10.544,0.35,0.35,0.35,0.35
10.546,0.35,0.35,0.35,0.35
10.548,0.35,0.35,0.35,0.35
10.55,0.35,0.35,0.35,0.35
10.552,0.35,0.35,0.35,0.35
10.554,0.35,0.35,0.35,0.35
10.556,0.35,0.35,0.35,0.35
10.558,0.35,0.35,0.35,0.35
10.56,0.35,0.35,0.35,0.35
10.562,0.35,0.35,0.35,0.35
10.564,0.35,0.35,0.35,0.35
10.566,0.35,0.35,0.35,0.35
10.568,0.35,0.35,0.35,0.35
10.57,0.35,0.35,0.35,0.35
10.572,0.35,0.35,0.35,0.35
10.574,0.35,0.35,0.35,0.35
10.576,0.35,0.35,0.35,0.35
10.578,0.35,0.35,0.35,0.35
10.58,0.35,0.35,0.35,0.35
10.582,0.35,0.35,0.35,0.35
10.584,0.35,0.35,0.35,0.35
10.586,0.35,0.35,0.35,0.35
10.588,0.35,0.35,0.35,0.35
10.59,0.35,0.35,0.35,0.35
10.592,0.35,0.35,0.35,0.35
10.594,0.35,0.35,0.35,0.35
10.596,0.35,0.35,0.35,0.35
10.598,0.35,0.35,0.35,0.35
10.6,0.35,0.35,0.35,0.35
10.602,0.35,0.35,0.35,0.35
10.604,0.35,0.35,0.35,0.35
10.606,0.35,0.35,0.35,0.35
10.608,0.35,0.35,0.35,0.35
10.61,0.35,0.35,0.35,0.35
10.612,0.35,0.35,0.35,0.35
10.614,0.35,0.35,0.35,0.35
10.616,0.35,0.35,0.35,0.35
10.618,0.35,0.35,0.35,0.35
10.62,0.35,0.35,0.35,0.35
10.622,0.35,0.35,0.35,0.35
10.624,0.35,0.35,0.35,0.35
10.626,0.35,0.35,0.35,0.35
10.628,0.35,0.35,0.35,0.35
10.63,0.35,0.35,0.35,0.35
10.632,0.35,0.35,0.35,0.35
10.634,0.35,0.35,0.35,0.35
10.636,0.35,0.35,0.35,0.35
10.638,0.35,0.35,0.35,0.35
10.64,0.35,0.35,0.35,0.35
10.642,0.35,0.35,0.35,0.35
10.644,0.35,0.35,0.35,0.35
10.646,0.35,0.35,0.35,0.35
10.648,0.35,0.35,0.35,0.35
10.65,0.35,0.35,0.35,0.35
10.652,0.35,0.35,0.35,0.35
10.654,0.35,0.35,0.35,0.35
10.656,0.35,0.35,0.35,0.35
10.658,0.35,0.35,0.35,0.35
10.66,0.35,0.35,0.35,0.35
10.662,0.35,0.35,0.35,0.35
10.664,0.35,0.35,0.35,0.35
10.666,0.35,0.35,0.35,0.35
10.668,0.35,0.35,0.35,0.35
10.67,0.35,0.35,0.35,0.35
10.672,0.35,0.35,0.35,0.35
10.674,0.35,0.35,0.35,0.35
10.676,0.35,0.35,0.35,0.35
10.678,0.35,0.35,0.35,0.35
10.68,0.35,0.35,0.35,0.35
10.682,0.35,0.35,0.35,0.35
10.684,0.35,0.35,0.35,0.35
10.686,0.35,0.35,0.35,0.35
